time 	 clk 	 step 	 eps 	 q
0	 1 	 00000000 	 00000000000000000000000000000000 	 0000000000000000000000000000000000000000000000000000000000000110
5	 0 	 00000000 	 00000000000000000000000000000000 	 0000000000000000000000000000000000000000000000000000000000000110
10	 1 	 00000001 	 00000000000011111111111111111000 	 0000000000000000000000000000000000000000000000000000000000000110
15	 0 	 00000001 	 00000000000011111111111111111000 	 0000000000000000000000000000000000000000000000000000000000000110
20	 1 	 00000010 	 00000000000011111111111111111000 	 0000000000000000000000000000000000000000010111111111111111011100
25	 0 	 00000010 	 00000000000011111111111111111000 	 0000000000000000000000000000000000000000010111111111111111011100
30	 1 	 00000011 	 11111111111000000000000000010000 	 0000000000000000000001011111111111111011100000000000000011011000
35	 0 	 00000011 	 11111111111000000000000000010000 	 0000000000000000000001011111111111111011100000000000000011011000
40	 1 	 00000100 	 11111111111000000000000000010000 	 0011101110000000111111001101011110010100000000000000111100110000
45	 0 	 00000100 	 11111111111000000000000000010000 	 0011101110000000111111001101011110010100000000000000111100110000
50	 1 	 00000101 	 10000000000000000000000001000101 	 0010100000011111010101100101011010000010000000010001000101100000
55	 0 	 00000101 	 10000000000000000000000001000101 	 0010100000011111010101100101011010000010000000010001000101100000
60	 1 	 00000110 	 10000000000000000000000001000101 	 0110000110110001011110101010111000001110010010111101000110100000
65	 0 	 00000110 	 10000000000000000000000001000101 	 0110000110110001011110101010111000001110010010111101000110100000
70	 1 	 00000111 	 11011111111000000000000100000001 	 0001111101011110111011110001010111110111000001110010001101100000
75	 0 	 00000111 	 11011111111000000000000100000001 	 0001111101011110111011110001010111110111000001110010001101100000
80	 1 	 00001000 	 11011111111000000000000100000001 	 0001001001110011010000010100100010000000001110001100101000100000
85	 0 	 00001000 	 11011111111000000000000100000001 	 0001001001110011010000010100100010000000001110001100101000100000
90	 1 	 00001001 	 01110111111000000000010001000000 	 1111000110111100101101100001110001110101011101000111111001100000
95	 0 	 00001001 	 01110111111000000000010001000000 	 1111000110111100101101100001110001110101011101000111111001100000
100	 1 	 00001010 	 01110111111000000000010001000000 	 1101100011111111010100011101100101001110000000100001010011000000
105	 0 	 00001010 	 01110111111000000000010001000000 	 1101100011111111010100011101100101001110000000100001010011000000
110	 1 	 00001011 	 00011110000000000001000000010001 	 1001000010000001101110001011010110001100110111000101100110000000
115	 0 	 00001011 	 00011110000000000001000000010001 	 1001000010000001101110001011010110001100110111000101100110000000
120	 1 	 00001100 	 00011110000000000001000000010001 	 0001101110101101111000001100010000111001111100101010010010000000
125	 0 	 00001100 	 00011110000000000001000000010001 	 0001101110101101111000001100010000111001111100101010010010000000
130	 1 	 00001101 	 00011100011000000100010001000101 	 1110101010111110011000010111011001110111010010100011010110000000
135	 0 	 00001101 	 00011100011000000100010001000101 	 1110101010111110011000010111011001110111010010100011010110000000
140	 1 	 00001110 	 00011100011000000100010001000101 	 0010111000101001010110010011100011011011110010101101011010000000
145	 0 	 00001110 	 00011100011000000100010001000101 	 0010111000101001010110010011100011011011110010101101011010000000
150	 1 	 00001111 	 01001001000000010000000000000000 	 0111011010000111011101001010110101000110001110110111110110000000
155	 0 	 00001111 	 01001001000000010000000000000000 	 0111011010000111011101001010110101000110001110110111110110000000
160	 1 	 00010000 	 01001001000000010000000000000000 	 1100101011000011001001100101111110001001111101101111101100000000
165	 0 	 00010000 	 01001001000000010000000000000000 	 1100101011000011001001100101111110001001111101101111101100000000
170	 1 	 00010001 	 10110110001111000100000000000001 	 1111101000111101010001000100100100001110111011011111011000000000
175	 0 	 00010001 	 10110110001111000100000000000001 	 1111101000111101010001000100100100001110111011011111011000000000
180	 1 	 00010010 	 10110110001111000100000000000001 	 0011000110000110101111010100000001010010010010011110001000000000
185	 0 	 00010010 	 10110110001111000100000000000001 	 0011000110000110101111010100000001010010010010011110001000000000
190	 1 	 00010011 	 10001010100111100001000000000001 	 0101100101111000000111000101000001100111010111011010011000000000
195	 0 	 00010011 	 10001010100111100001000000000001 	 0101100101111000000111000101000001100111010111011010011000000000
200	 1 	 00010100 	 10001010100111100001000000000001 	 0101111110000101101000101010111110000100011110001111001000000000
205	 0 	 00010100 	 10001010100111100001000000000001 	 0101111110000101101000101010111110000100011110001111001000000000
210	 1 	 00010101 	 11110111010001111100010000000011 	 0111111001111000110101010110111101111000100010101101011000000000
215	 0 	 00010101 	 11110111010001111100010000000011 	 0111111001111000110101010110111101111000100010101101011000000000
220	 1 	 00010110 	 11110111010001111100010000000011 	 1011101011111101111001100111001100000000100011100010111000000000
225	 0 	 00010110 	 11110111010001111100010000000011 	 1011101011111101111001100111001100000000100011100010111000000000
230	 1 	 00010111 	 11111100101101101110000100001100 	 1110101011010011111000100111110010011111111111101110011000000000
235	 0 	 00010111 	 11111100101101101110000100001100 	 1110101011010011111000100111110010011111111111101110011000000000
240	 1 	 00011000 	 11111100101101101110000100001100 	 1100001110111110100101010000111101001100000101101001010000000000
245	 0 	 00011000 	 11111100101101101110000100001100 	 1100001110111110100101010000111101001100000101101001010000000000
250	 1 	 00011001 	 10101110000101100011110001110100 	 0011110100110100111010100111001100111001010100000001100000000000
255	 0 	 00011001 	 10101110000101100011110001110100 	 0011110100110100111010100111001100111001010100000001100000000000
260	 1 	 00011010 	 10101110000101100011110001110100 	 0001010000110010011011111011110101000000100010110001000000000000
265	 0 	 00011010 	 10101110000101100011110001110100 	 0001010000110010011011111011110101000000100010110001000000000000
270	 1 	 00011011 	 00100100010001010111111011001011 	 0101110110010001111011010010111110110111110110010110000000000000
275	 0 	 00011011 	 00100100010001010111111011001011 	 0101110110010001111011010010111110110111110110010110000000000000
280	 1 	 00011100 	 00100100010001010111111011001011 	 0110010001001111100010101100101000010110010100011110000000000000
285	 0 	 00011100 	 00100100010001010111111011001011 	 0110010001001111100010101100101000010110010100011110000000000000
290	 1 	 00011101 	 01001100011111001010010010011101 	 0100110110011101001000100110000110001011110100000110000000000000
295	 0 	 00011101 	 01001100011111001010010010011101 	 0100110110011101001000100110000110001011110100000110000000000000
300	 1 	 00011110 	 01001100011111001010010010011101 	 0111101101100000011011011001010111010011111010111010000000000000
305	 0 	 00011110 	 01001100011111001010010010011101 	 0111101101100000011011011001010111010011111010111010000000000000
310	 1 	 00011111 	 01001001000011011011101101010111 	 1111011010010100101001010111001100010001110110000110000000000000
315	 0 	 00011111 	 01001001000011011011101101010111 	 1111011010010100101001010111001100010001110110000110000000000000
320	 1 	 00100000 	 01001001000011011011101101010111 	 1000010101110111001011100110011100100010010110010110000000000000
325	 0 	 00100000 	 01001001000011011011101101010111 	 1000010101110111001011100110011100100010010110010110000000000000
330	 1 	 00100001 	 10001001111011011000001110001110 	 0011100101011100101100101101110000011010001100100110000000000000
335	 0 	 00100001 	 10001001111011011000001110001110 	 0011100101011100101100101101110000011010001100100110000000000000
340	 1 	 00100010 	 10001001111011011000001110001110 	 0001001101110100011100110011100101100011011101100000000000000000
345	 0 	 00100010 	 10001001111011011000001110001110 	 0001001101110100011100110011100101100011011101100000000000000000
350	 1 	 00100011 	 11000101101101010110111011011001 	 1110101011010010011010000110101101010100011000000000000000000000
355	 0 	 00100011 	 11000101101101010110111011011001 	 1110101011010010011010000110101101010100011000000000000000000000
360	 1 	 00100100 	 11000101101101010110111011011001 	 1011011010101101111110011111001001101110001000000000000000000000
